year,opiate_scripts
2006,7598182
2007,7954399
2008,8301322
2009,8726419
2010,8899184
2011,8863172
2012,8781703
2013,8250841
2014,7935559
2015,7569787
2016,7141529
2017,6386811
2018,5549903
2019,5094756
2020,4672795
